I0,I1,I2
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,-9.536883
0.000000,0.000000,-4.768390
0.000000,0.000000,73.911736
0.000000,0.000000,36.955917
0.000000,0.000000,18.478008
0.000000,0.000000,9.239055
0.000000,0.000000,4.619577
0.000000,0.000000,2.309839
0.000000,0.000000,1.154969
0.000000,0.000000,0.577535
0.000000,0.000000,0.288818
0.000000,0.000000,0.144459
0.000000,0.000000,0.072280
0.000000,0.000000,-1.783426
0.000000,0.000000,-1.052595
0.000000,0.000000,-0.606714
0.000000,0.000000,-0.343540
0.000000,0.000000,-0.191836
0.000000,0.000000,-0.105927
0.000000,0.000000,-0.057942
0.000000,0.000000,-0.031436
0.000000,0.000000,-0.016925
0.000000,0.000000,-0.009041
0.000000,0.000000,-0.004785
0.000000,0.000000,-0.002499
0.000000,0.000000,-0.001278
0.000000,0.000000,76.221474
0.000000,0.000000,38.110786
0.000000,0.000000,19.055443
0.000000,0.000000,9.527772
0.000000,0.000000,4.763936
0.000000,0.000000,2.382018
0.000000,0.000000,1.191059
0.000000,0.000000,0.595580
0.000000,0.000000,0.297840
0.000000,0.000000,0.148970
0.000000,0.000000,0.074535
0.000000,0.000000,0.037318
0.000000,0.000000,0.018709
0.000000,0.000000,0.000109
0.000000,0.000000,0.000105
0.000000,0.000000,0.000103
0.000000,0.000000,0.000101
0.000000,0.000000,0.000101
0.000000,0.000000,0.000101
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
0.000000,0.000000,0.000100
